title,proveedor,img,iframe
Rock n’ Reels Slots,Caleta,https://caletagaming.com/wp-content/uploads/2023/07/rock_n_reels.png,https://europeapi.the-rgs.com/open_fun_game/495/?currency=FUN&locale=en
Bingo Pescaria Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2023/07/pescaria.png,https://europeapi.the-rgs.com/open_fun_game/462/?currency=FUN&locale=en
Piggy Show Bingo Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2023/06/piggy_show_bingo.jpg,https://europeapi.the-rgs.com/open_fun_game/429/?currency=FUN&locale=en
Caipirinha Keno Keno,Caleta,https://caletagaming.com/wp-content/uploads/2023/06/caipirinha-keno.jpg,https://europeapi.the-rgs.com/open_fun_game/396/?currency=FUN&locale=en
Classic Royals Slots,Caleta,https://caletagaming.com/wp-content/uploads/2023/05/classic-royals.jpg,https://europeapi.the-rgs.com/open_fun_game/330/?currency=FUN&locale=en
Dama da Fortuna Bingo Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2023/05/dama-da-fortuna.jpg,https://europeapi.the-rgs.com/open_fun_game/297/?currency=FUN&locale=en
Coliseu Bingo Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2023/04/coliseu-bingo-2.png,https://europeapi.the-rgs.com/open_fun_game/264/?currency=FUN&locale=en
Fishing Season Slots,Caleta,https://caletagaming.com/wp-content/uploads/2023/03/fishing-season-1.png,https://staging.the-rgs.com/open_fun_game/268/?currency=FUN&locale=en
Football Lotto Lotto,Caleta,https://caletagaming.com/wp-content/uploads/2022/12/football-lotto-1.png,https://europeapi.the-rgs.com/open_fun_game/229/?currency=FUN&locale=en
Keno Goal Keno,Caleta,https://caletagaming.com/wp-content/uploads/2022/12/keno-goal-1.png,https://europeapi.the-rgs.com/open_fun_game/230/?currency=FUN&locale=en
RCT – Red Sheriff Slots,Caleta,https://caletagaming.com/wp-content/uploads/2022/12/red-sheriff-1.png,https://europeapi.the-rgs.com/open_fun_game/228/?currency=FUN&locale=en
Rainbow Keno Keno,Caleta,https://caletagaming.com/wp-content/uploads/2022/12/rainbow-keno-2.png,https://europeapi.the-rgs.com/open_fun_game/227/?currency=FUN&locale=en
World Wild Cup Slots,Caleta,https://caletagaming.com/wp-content/uploads/2022/11/world-wild-cup-1.png,https://europeapi.the-rgs.com/open_fun_game/226/?currency=FUN&locale=en
Remember Remember Slots,Caleta,https://caletagaming.com/wp-content/uploads/2022/11/remember-remember-1.png,https://europeapi.the-rgs.com/open_fun_game/225/?currency=FUN&locale=en
Clubhouse Bingo Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2022/10/clubhouse-bingo-1.png,https://europeapi.the-rgs.com/open_fun_game/224/?currency=FUN&locale=en
Imperial: Operation Rio Slots,Caleta,https://caletagaming.com/wp-content/uploads/2022/09/imperial-operation-rio-1.png,https://europeapi.the-rgs.com/open_fun_game/223/?currency=FUN&locale=en
Fruitverse Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2022/09/fruitverse-1.png,https://europeapi.the-rgs.com/open_fun_game/222/?currency=FUN&locale=en
Bingo Royale Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2022/07/royale-1.png,https://europeapi.the-rgs.com/open_fun_game/220/?currency=FUN&locale=en
Paradise Trippies Bingo Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2022/05/paradise-bingo-2.png,https://europeapi.the-rgs.com/open_fun_game/218/?currency=FUN&locale=en
Bonus Only Slots,Caleta,https://caletagaming.com/wp-content/uploads/2022/05/bonus-only-1.png,https://europeapi.the-rgs.com/open_fun_game/217/?currency=FUN&locale=en
Atlantis Bingo Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2022/04/atlantis-2.png,https://europeapi.the-rgs.com/open_fun_game/216/?currency=FUN&locale=en
Paradise Trippies Slots,Caleta,https://caletagaming.com/wp-content/uploads/2022/03/paradise-trippies.png,https://europeapi.the-rgs.com/open_fun_game/221/?currency=FUN&locale=en
Big Bad Beasts Slots,Caleta,https://caletagaming.com/wp-content/uploads/2022/03/big-bad-beasts-1.png,https://europeapi.the-rgs.com/open_fun_game/214/?currency=FUN&locale=en
Carnival Beauties Slots,Caleta,https://caletagaming.com/wp-content/uploads/2022/02/carnival-beauties-1.png,https://europeapi.the-rgs.com/open_fun_game/213/?currency=FUN&locale=en
Carnaval Scratchcard Scratchcard,Caleta,https://caletagaming.com/wp-content/uploads/2022/01/carnaval-1.png,https://europeapi.the-rgs.com/open_fun_game/212/?currency=FUN&locale=en
Gamdom Strike Slots,Caleta,https://caletagaming.com/wp-content/uploads/2022/01/gamdom-strike-1.png,https://europeapi.the-rgs.com/open_fun_game/185/?currency=FUN&locale=en
Bingo Gatinho Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2021/12/gatinho.png,https://europeapi.the-rgs.com/open_fun_game/211/?currency=FUN&locale=en
Billion Llama Scratchcard Scratchcard,Caleta,https://caletagaming.com/wp-content/uploads/2021/12/llama-1.png,https://europeapi.the-rgs.com/open_fun_game/210/?currency=FUN&locale=en
Billion Llama in Vegas Slots,Caleta,https://caletagaming.com/wp-content/uploads/2021/11/billion-llama-1.png,https://europeapi.the-rgs.com/open_fun_game/209/?currency=FUN&locale=en
Football Pro Scratchcard Scratchcard,Caleta,https://caletagaming.com/wp-content/uploads/2021/10/football-1.png,https://europeapi.the-rgs.com/open_fun_game/206/?currency=FUN&locale=en
Cherry Cherry Scratchcard Scratchcard,Caleta,https://caletagaming.com/wp-content/uploads/2021/10/cherry-1.png,https://europeapi.the-rgs.com/open_fun_game/205/?currency=FUN&locale=en
Bingo Billion Llama Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2021/09/billion-1.png,https://europeapi.the-rgs.com/open_fun_game/202/?currency=FUN&locale=en
Halloween Lotto Lotto,Caleta,https://caletagaming.com/wp-content/uploads/2021/09/halloween-lotto.png,https://europeapi.the-rgs.com/open_fun_game/200/?currency=FUN&locale=en
Halloween Pick’em Pickem,Caleta,https://caletagaming.com/wp-content/uploads/2021/08/halloween-pickem-1.png,https://europeapi.the-rgs.com/open_fun_game/197/?currency=FUN&locale=en
Halloween Keno Keno,Caleta,https://caletagaming.com/wp-content/uploads/2021/07/halloween-keno-1.png,https://europeapi.the-rgs.com/open_fun_game/195/?currency=FUN&locale=en
Bingo Halloween Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2021/07/halloween.png,https://europeapi.the-rgs.com/open_fun_game/193/?currency=FUN&locale=en
Trevo da Sorte Scratchcard Scratchcard,Caleta,https://caletagaming.com/wp-content/uploads/2021/06/trevo-2.png,https://europeapi.the-rgs.com/open_fun_game/191/?currency=FUN&locale=en
Halloween Scratchcard Scratchcard,Caleta,https://caletagaming.com/wp-content/uploads/2021/06/halloween-1.png,https://europeapi.the-rgs.com/open_fun_game/190/?currency=FUN&locale=en
RCT – Talismanes Slots,Caleta,https://caletagaming.com/wp-content/uploads/2021/05/talismanes-1.png,https://europeapi.the-rgs.com/open_fun_game/188/?currency=FUN&locale=en
Cherry Cherry Slots,Caleta,https://caletagaming.com/wp-content/uploads/2021/04/cherry-cherry-1.png,https://europeapi.the-rgs.com/open_fun_game/186/?currency=FUN&locale=en
Boto Bingo Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2021/03/boto.png,https://europeapi.the-rgs.com/open_fun_game/183/?currency=FUN&locale=en
Catch a Fish Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2021/02/catch-a-fish-3.png,https://europeapi.the-rgs.com/open_fun_game/181/?currency=FUN&locale=en
Astro Wild Slots,Caleta,https://caletagaming.com/wp-content/uploads/2021/02/astro-wild-1.png,https://europeapi.the-rgs.com/open_fun_game/179/?currency=FUN&locale=en
Pick’em Fruits Pickem,Caleta,https://caletagaming.com/wp-content/uploads/2021/01/pickem-fruits.png,https://europeapi.the-rgs.com/open_fun_game/177/?currency=FUN&locale=en
Beach Tennis Slots,Caleta,https://caletagaming.com/wp-content/uploads/2020/12/beach-tennis-1.png,https://europeapi.the-rgs.com/open_fun_game/175/?currency=FUN&locale=en
Hungry Chef Pick’em Pickem,Caleta,https://caletagaming.com/wp-content/uploads/2020/12/hungry-chef-pickem-1.png,https://europeapi.the-rgs.com/open_fun_game/173/?currency=FUN&locale=en
Princess of the Ocean Slots,Caleta,https://caletagaming.com/wp-content/uploads/2020/11/princess-of-the-ocean-1.png,https://europeapi.the-rgs.com/open_fun_game/170/?currency=FUN&locale=en
Bingo Tornado Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2020/11/tornado-2.png,https://europeapi.the-rgs.com/open_fun_game/167/?currency=FUN&locale=en
Viking Madness Slots,Caleta,https://caletagaming.com/wp-content/uploads/2020/11/viking-madness-1.png,https://europeapi.the-rgs.com/open_fun_game/164/?currency=FUN&locale=en
Bingo Fada da Fortuna Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2020/10/fada-1.png,https://europeapi.the-rgs.com/open_fun_game/165/?currency=FUN&locale=en
Atomico Lotto Lotto,Caleta,https://caletagaming.com/wp-content/uploads/2020/10/atomico-lotto.png,https://europeapi.the-rgs.com/open_fun_game/162/?currency=FUN&locale=en
Crystal Unicorn Slots,Caleta,https://caletagaming.com/wp-content/uploads/2020/09/crystal-unicorn-1.png,https://europeapi.the-rgs.com/open_fun_game/150/?currency=FUN&locale=en
Ocean Richies Slots,Caleta,https://caletagaming.com/wp-content/uploads/2020/09/ocean-richies.png,https://europeapi.the-rgs.com/open_fun_game/160/?currency=FUN&locale=en
Bingo Betina Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2020/09/betina-1.png,https://europeapi.the-rgs.com/open_fun_game/158/?currency=FUN&locale=en
Banana Keno Keno,Caleta,https://caletagaming.com/wp-content/uploads/2020/08/banana-keno.png,https://europeapi.the-rgs.com/open_fun_game/152/?currency=FUN&locale=en
Magical Keno Keno,Caleta,https://caletagaming.com/wp-content/uploads/2020/08/magical-keno.png,https://europeapi.the-rgs.com/open_fun_game/154/?currency=FUN&locale=en
Jungle Keno Keno,Caleta,https://caletagaming.com/wp-content/uploads/2020/08/jungle-keno.png,https://europeapi.the-rgs.com/open_fun_game/153/?currency=FUN&locale=en
RCT – New Fruit Slots,Caleta,https://caletagaming.com/wp-content/uploads/2020/08/new-fruit-1.png,https://europeapi.the-rgs.com/open_fun_game/139/?currency=FUN&locale=en
RCT – Reis do Egito Slots,Caleta,https://caletagaming.com/wp-content/uploads/2020/08/reis-do-egito.png,https://europeapi.the-rgs.com/open_fun_game/140/?currency=FUN&locale=en
RCT – Rio de Janeiro Slots,Caleta,https://caletagaming.com/wp-content/uploads/2020/08/rio-de-janeiro-1.png,https://europeapi.the-rgs.com/open_fun_game/141/?currency=FUN&locale=en
Señorita Calavera Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2020/07/calavera.png,https://europeapi.the-rgs.com/open_fun_game/115/?currency=FUN&locale=en
Saga Loca Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2020/07/saga-loca-1.png,https://europeapi.the-rgs.com/open_fun_game/114/?currency=FUN&locale=en
Señor Taco Bingo,Caleta,https://caletagaming.com/wp-content/uploads/2020/07/senor-taco-1.png,https://europeapi.the-rgs.com/open_fun_game/113/?currency=FUN&locale=en
Lucky K Slots,Caleta,https://caletagaming.com/wp-content/uploads/2020/07/lucky-k-1.png,https://europeapi.the-rgs.com/open_fun_game/138/?currency=FUN&locale=en
The Dressing Room Slots,Caleta,https://caletagaming.com/wp-content/uploads/2020/07/dressing-room-1.png,https://europeapi.the-rgs.com/open_fun_game/134/?currency=FUN&locale=en
